
================================================================================
Inspecting Model: mediq_skin_screening_densenet121.onnx
================================================================================
Node Name                                                    | Op Type         | Output Tensor
----------------------------------------------------------------------------------------------------
functional_1/conv1_bn_1/batchnorm/mul_1__6                   | Transpose       | functional_1/conv1_bn_1/batchnorm/mul_1__6:0
Conv__503                                                    | Conv            | Conv__503:0
functional_1/conv1_relu_1/Relu                               | Relu            | functional_1/conv1_relu_1/Relu:0
functional_1/zero_padding2d_1_2/Pad                          | Pad             | functional_1/zero_padding2d_1_2/Pad:0
functional_1/pool1_1/MaxPool2d                               | MaxPool         | functional_1/pool1_1/MaxPool2d:0
functional_1/conv2_block1_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block1_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block1_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block1_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block1_0_relu_1/Relu                      | Relu            | functional_1/conv2_block1_0_relu_1/Relu:0
Conv__509                                                    | Conv            | Conv__509:0
functional_1/conv2_block1_1_relu_1/Relu                      | Relu            | functional_1/conv2_block1_1_relu_1/Relu:0
functional_1/conv2_block1_2_conv_1/convolution               | Conv            | functional_1/conv2_block1_2_conv_1/convolution:0
functional_1/conv2_block1_concat_1/concat                    | Concat          | functional_1/conv2_block1_concat_1/concat:0
functional_1/conv2_block2_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block2_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block2_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block2_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block2_0_relu_1/Relu                      | Relu            | functional_1/conv2_block2_0_relu_1/Relu:0
Conv__519                                                    | Conv            | Conv__519:0
functional_1/conv2_block2_1_relu_1/Relu                      | Relu            | functional_1/conv2_block2_1_relu_1/Relu:0
functional_1/conv2_block2_2_conv_1/convolution               | Conv            | functional_1/conv2_block2_2_conv_1/convolution:0
functional_1/conv2_block2_concat_1/concat                    | Concat          | functional_1/conv2_block2_concat_1/concat:0
functional_1/conv2_block3_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block3_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block3_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block3_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block3_0_relu_1/Relu                      | Relu            | functional_1/conv2_block3_0_relu_1/Relu:0
Conv__529                                                    | Conv            | Conv__529:0
functional_1/conv2_block3_1_relu_1/Relu                      | Relu            | functional_1/conv2_block3_1_relu_1/Relu:0
functional_1/conv2_block3_2_conv_1/convolution               | Conv            | functional_1/conv2_block3_2_conv_1/convolution:0
functional_1/conv2_block3_concat_1/concat                    | Concat          | functional_1/conv2_block3_concat_1/concat:0
functional_1/conv2_block4_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block4_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block4_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block4_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block4_0_relu_1/Relu                      | Relu            | functional_1/conv2_block4_0_relu_1/Relu:0
Conv__539                                                    | Conv            | Conv__539:0
functional_1/conv2_block4_1_relu_1/Relu                      | Relu            | functional_1/conv2_block4_1_relu_1/Relu:0
functional_1/conv2_block4_2_conv_1/convolution               | Conv            | functional_1/conv2_block4_2_conv_1/convolution:0
functional_1/conv2_block4_concat_1/concat                    | Concat          | functional_1/conv2_block4_concat_1/concat:0
functional_1/conv2_block5_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block5_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block5_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block5_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block5_0_relu_1/Relu                      | Relu            | functional_1/conv2_block5_0_relu_1/Relu:0
Conv__549                                                    | Conv            | Conv__549:0
functional_1/conv2_block5_1_relu_1/Relu                      | Relu            | functional_1/conv2_block5_1_relu_1/Relu:0
functional_1/conv2_block5_2_conv_1/convolution               | Conv            | functional_1/conv2_block5_2_conv_1/convolution:0
functional_1/conv2_block5_concat_1/concat                    | Concat          | functional_1/conv2_block5_concat_1/concat:0
functional_1/conv2_block6_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv2_block6_0_bn_1/batchnorm/mul_1:0
functional_1/conv2_block6_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv2_block6_0_bn_1/batchnorm/add_1:0
functional_1/conv2_block6_0_relu_1/Relu                      | Relu            | functional_1/conv2_block6_0_relu_1/Relu:0
Conv__559                                                    | Conv            | Conv__559:0
functional_1/conv2_block6_1_relu_1/Relu                      | Relu            | functional_1/conv2_block6_1_relu_1/Relu:0
functional_1/conv2_block6_2_conv_1/convolution               | Conv            | functional_1/conv2_block6_2_conv_1/convolution:0
functional_1/conv2_block6_concat_1/concat                    | Concat          | functional_1/conv2_block6_concat_1/concat:0
functional_1/pool2_bn_1/batchnorm/mul_1                      | Mul             | functional_1/pool2_bn_1/batchnorm/mul_1:0
functional_1/pool2_bn_1/batchnorm/add_1                      | Add             | functional_1/pool2_bn_1/batchnorm/add_1:0
functional_1/pool2_relu_1/Relu                               | Relu            | functional_1/pool2_relu_1/Relu:0
functional_1/pool2_conv_1/convolution                        | Conv            | functional_1/pool2_conv_1/convolution:0
functional_1/pool2_pool_1/AvgPool                            | AveragePool     | functional_1/pool2_pool_1/AvgPool:0
functional_1/conv3_block1_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block1_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block1_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block1_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block1_0_relu_1/Relu                      | Relu            | functional_1/conv3_block1_0_relu_1/Relu:0
Conv__569                                                    | Conv            | Conv__569:0
functional_1/conv3_block1_1_relu_1/Relu                      | Relu            | functional_1/conv3_block1_1_relu_1/Relu:0
functional_1/conv3_block1_2_conv_1/convolution               | Conv            | functional_1/conv3_block1_2_conv_1/convolution:0
functional_1/conv3_block1_concat_1/concat                    | Concat          | functional_1/conv3_block1_concat_1/concat:0
functional_1/conv3_block2_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block2_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block2_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block2_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block2_0_relu_1/Relu                      | Relu            | functional_1/conv3_block2_0_relu_1/Relu:0
Conv__579                                                    | Conv            | Conv__579:0
functional_1/conv3_block2_1_relu_1/Relu                      | Relu            | functional_1/conv3_block2_1_relu_1/Relu:0
functional_1/conv3_block2_2_conv_1/convolution               | Conv            | functional_1/conv3_block2_2_conv_1/convolution:0
functional_1/conv3_block2_concat_1/concat                    | Concat          | functional_1/conv3_block2_concat_1/concat:0
functional_1/conv3_block3_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block3_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block3_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block3_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block3_0_relu_1/Relu                      | Relu            | functional_1/conv3_block3_0_relu_1/Relu:0
Conv__589                                                    | Conv            | Conv__589:0
functional_1/conv3_block3_1_relu_1/Relu                      | Relu            | functional_1/conv3_block3_1_relu_1/Relu:0
functional_1/conv3_block3_2_conv_1/convolution               | Conv            | functional_1/conv3_block3_2_conv_1/convolution:0
functional_1/conv3_block3_concat_1/concat                    | Concat          | functional_1/conv3_block3_concat_1/concat:0
functional_1/conv3_block4_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block4_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block4_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block4_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block4_0_relu_1/Relu                      | Relu            | functional_1/conv3_block4_0_relu_1/Relu:0
Conv__599                                                    | Conv            | Conv__599:0
functional_1/conv3_block4_1_relu_1/Relu                      | Relu            | functional_1/conv3_block4_1_relu_1/Relu:0
functional_1/conv3_block4_2_conv_1/convolution               | Conv            | functional_1/conv3_block4_2_conv_1/convolution:0
functional_1/conv3_block4_concat_1/concat                    | Concat          | functional_1/conv3_block4_concat_1/concat:0
functional_1/conv3_block5_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block5_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block5_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block5_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block5_0_relu_1/Relu                      | Relu            | functional_1/conv3_block5_0_relu_1/Relu:0
Conv__609                                                    | Conv            | Conv__609:0
functional_1/conv3_block5_1_relu_1/Relu                      | Relu            | functional_1/conv3_block5_1_relu_1/Relu:0
functional_1/conv3_block5_2_conv_1/convolution               | Conv            | functional_1/conv3_block5_2_conv_1/convolution:0
functional_1/conv3_block5_concat_1/concat                    | Concat          | functional_1/conv3_block5_concat_1/concat:0
functional_1/conv3_block6_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block6_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block6_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block6_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block6_0_relu_1/Relu                      | Relu            | functional_1/conv3_block6_0_relu_1/Relu:0
Conv__619                                                    | Conv            | Conv__619:0
functional_1/conv3_block6_1_relu_1/Relu                      | Relu            | functional_1/conv3_block6_1_relu_1/Relu:0
functional_1/conv3_block6_2_conv_1/convolution               | Conv            | functional_1/conv3_block6_2_conv_1/convolution:0
functional_1/conv3_block6_concat_1/concat                    | Concat          | functional_1/conv3_block6_concat_1/concat:0
functional_1/conv3_block7_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block7_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block7_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block7_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block7_0_relu_1/Relu                      | Relu            | functional_1/conv3_block7_0_relu_1/Relu:0
Conv__629                                                    | Conv            | Conv__629:0
functional_1/conv3_block7_1_relu_1/Relu                      | Relu            | functional_1/conv3_block7_1_relu_1/Relu:0
functional_1/conv3_block7_2_conv_1/convolution               | Conv            | functional_1/conv3_block7_2_conv_1/convolution:0
functional_1/conv3_block7_concat_1/concat                    | Concat          | functional_1/conv3_block7_concat_1/concat:0
functional_1/conv3_block8_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block8_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block8_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block8_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block8_0_relu_1/Relu                      | Relu            | functional_1/conv3_block8_0_relu_1/Relu:0
Conv__639                                                    | Conv            | Conv__639:0
functional_1/conv3_block8_1_relu_1/Relu                      | Relu            | functional_1/conv3_block8_1_relu_1/Relu:0
functional_1/conv3_block8_2_conv_1/convolution               | Conv            | functional_1/conv3_block8_2_conv_1/convolution:0
functional_1/conv3_block8_concat_1/concat                    | Concat          | functional_1/conv3_block8_concat_1/concat:0
functional_1/conv3_block9_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block9_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block9_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block9_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block9_0_relu_1/Relu                      | Relu            | functional_1/conv3_block9_0_relu_1/Relu:0
Conv__649                                                    | Conv            | Conv__649:0
functional_1/conv3_block9_1_relu_1/Relu                      | Relu            | functional_1/conv3_block9_1_relu_1/Relu:0
functional_1/conv3_block9_2_conv_1/convolution               | Conv            | functional_1/conv3_block9_2_conv_1/convolution:0
functional_1/conv3_block9_concat_1/concat                    | Concat          | functional_1/conv3_block9_concat_1/concat:0
functional_1/conv3_block10_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block10_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block10_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block10_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block10_0_relu_1/Relu                     | Relu            | functional_1/conv3_block10_0_relu_1/Relu:0
Conv__659                                                    | Conv            | Conv__659:0
functional_1/conv3_block10_1_relu_1/Relu                     | Relu            | functional_1/conv3_block10_1_relu_1/Relu:0
functional_1/conv3_block10_2_conv_1/convolution              | Conv            | functional_1/conv3_block10_2_conv_1/convolution:0
functional_1/conv3_block10_concat_1/concat                   | Concat          | functional_1/conv3_block10_concat_1/concat:0
functional_1/conv3_block11_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block11_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block11_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block11_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block11_0_relu_1/Relu                     | Relu            | functional_1/conv3_block11_0_relu_1/Relu:0
Conv__669                                                    | Conv            | Conv__669:0
functional_1/conv3_block11_1_relu_1/Relu                     | Relu            | functional_1/conv3_block11_1_relu_1/Relu:0
functional_1/conv3_block11_2_conv_1/convolution              | Conv            | functional_1/conv3_block11_2_conv_1/convolution:0
functional_1/conv3_block11_concat_1/concat                   | Concat          | functional_1/conv3_block11_concat_1/concat:0
functional_1/conv3_block12_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block12_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block12_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block12_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block12_0_relu_1/Relu                     | Relu            | functional_1/conv3_block12_0_relu_1/Relu:0
Conv__679                                                    | Conv            | Conv__679:0
functional_1/conv3_block12_1_relu_1/Relu                     | Relu            | functional_1/conv3_block12_1_relu_1/Relu:0
functional_1/conv3_block12_2_conv_1/convolution              | Conv            | functional_1/conv3_block12_2_conv_1/convolution:0
functional_1/conv3_block12_concat_1/concat                   | Concat          | functional_1/conv3_block12_concat_1/concat:0
functional_1/pool3_bn_1/batchnorm/mul_1                      | Mul             | functional_1/pool3_bn_1/batchnorm/mul_1:0
functional_1/pool3_bn_1/batchnorm/add_1                      | Add             | functional_1/pool3_bn_1/batchnorm/add_1:0
functional_1/pool3_relu_1/Relu                               | Relu            | functional_1/pool3_relu_1/Relu:0
functional_1/pool3_conv_1/convolution                        | Conv            | functional_1/pool3_conv_1/convolution:0
functional_1/pool3_pool_1/AvgPool                            | AveragePool     | functional_1/pool3_pool_1/AvgPool:0
functional_1/conv4_block1_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block1_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block1_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block1_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block1_0_relu_1/Relu                      | Relu            | functional_1/conv4_block1_0_relu_1/Relu:0
Conv__689                                                    | Conv            | Conv__689:0
